,Author,Author,Fork,Fork
Approaches to Transposing the European Union Tobacco Products Directive E-cigarette Rules into Legislation by European Union Member States,1,0,1,0
Approaches to long COVID care: the Veterans Health Administration experience in 2021,1,0,1,0
Are Health Topics on Pictorial Cigarette Health Warning Labels Related to Perceived Effectiveness in China?,0.75,0.25,1,0
Are anti-SARS-CoV-2 S/N IgG/IgM antibodies always predictive of previous SARS-CoV-2 infection?,1,0,0,1
Are binge drinking disparities by sexual identity lower in US states with nondiscrimination statutes that include sexual orientation?,1,0,1,0
Are consumers put off by retargeted ads on social media? Evidence for perceptions of marketing surveillance and decreased ad effectiveness,1,0,1,0
Are normative sonographic values of kidney size in children valid and reliable? A systematic review of the methodological quality of ultrasound studies using the Anatomical â€¦,1,0,0,1
Are occasional smokers a heterogeneous group? An exploratory study,0,1,1,0
Are sniffer dogs a reliable approach for diagnosing SARS-CoV-2 infection?,1,0,0,1
Arginine vasopressin and paediatric cardiovascular surgery,1,0,0,1
Arginine vasopressin in neonates after surgery for congenital heart disease: Right from the start?,0,1,0,1
Arginine vasopressin to manage hypoxemic infants after stage I palliation of single ventricle lesions,0,1,0,1
Artery of Adamkiewicz: a meta-analysis of anatomical characteristics,0,1,0,1
Article Type: Letter to the Editor Potential drawbacks of frequent asymptomatic COVID-19 testing,0.5,0.5,0,1
Article court,1,0,1,0
Artificial intelligence at the time of COVID-19: who does the lionâ€™s share?,1,0,0,1
Ascending aorta replacement vs. total aortic arch replacement in the treatment of acute type A dissection: a meta-analysis.,1,0,0,1
Aspirin resistance in infants with shunt-dependent congenital heart disease,0.25,0.75,0,1
Assessing ENDS Device Type Accurately in Surveys,0.5,0.5,1,0
Assessing Youth Appeals on Cigarette Packs in 6 Low and Middle Income Countries: Lessons Learned from Methodological Challenges,0.25,0.75,1,0
Assessing continuous quality improvement in public health: Adapting lessons from healthcare,0.2,0.8,1,0
Assessing the reach of nicotine replacement therapy as a preventive public health measure,1,0,1,0
Assessing the relationship between retail store tobacco advertising and local tobacco control policies: a Massachusetts case study,1,0,1,0
Assessing young adults‚Äô ENDS use via ecological momentary assessment and a smart Bluetooth enabled ENDS device,0,1,1,0
Assessing youth appeals on cigarette packs in 6 low and middle income countries,0.4,0.6,1,0
Assessment of Intracranial Pressure via Ocular Hemodynamics Using Transocular Ultrasound Localization Microscopy,0.571428571,0.428571429,0,1
Assessment of humoral and cellular immunity after bivalent BNT162b2 vaccination and potential association with reactogenicity,0.571428571,0.428571429,0,1
Assessment of immune response against SARS-CoV-2 at emergency department evaluation in COVID-19 patients,0.333333333,0.666666667,0,1
Assessment of indoor air quality at an electronic cigarette (Vaping) convention,0.833333333,0.166666667,1,0
Assessment of long-term outcomes post living liver donation highlights the importance of scientific integrity when presenting transplant registry data,0.5,0.5,0,1
Assessment of the worldwide burden of critical illness: the intensive care over nations (ICON) audit,0.2,0.8,0,1
"Association Between Clean Indoor Air Laws, Cigarette Excise Taxes, and Smoking",0.75,0.25,1,0
Association Between The First Central Venous Pressure Time Acquisition And Mortality In Patients With Severe Sepsis And Septic Shock,0.166666667,0.833333333,0,1
Association Lactate Reduction In Severe Sepsis Hospital Outcomes,0,1,0,1
Association Of Duration Of Antibiotics Use And Manifestation Of Clostridium Difficile In The Intensive Care Unit,0.4,0.6,0,1
Association Of Extubation Failure And Short And Long Term Outcomes In Patients With Primary Neurologic Illness,0.5,0.5,0,1
Association between climate and new daily diagnoses of COVID-19,0.666666667,0.333333333,0,1
Association between e-cigarette use and parents‚Äô report of attention deficit hyperactivity disorder among US youth,0.5,0.5,1,0
Association between early treatment with tocilizumab and mortality among critically ill patients with COVID-19,0.45,0.55,0,1
Association between environmental pollution and prevalence of coronavirus disease 2019 (COVID-19) in Italy,0.5,0.5,0,1
Association between limiting the number of open records in a tele-critical care setting and retract‚Äìreorder errors,0.666666667,0.333333333,1,0
Association between obstructive sleep apnea and acute kidney injury in critically ill patients: a propensity-matched study,0.166666667,0.833333333,0,1
Association between postoperative Fever and atelectasis in pediatric patients,0.333333333,0.666666667,0,1
Association between the display of cigarette packs at the point of sale and smoking susceptibility among adolescents in Brazil,0.5,0.5,1,0
Association between timing of intubation and outcome in critically ill patients: a secondary analysis of the ICON audit,0.111111111,0.888888889,0,1
Association between viral load and positivization time of a SARS-CoV-2 rapid antigen test in routine nasopharyngeal specimens,1,0,0,1
Association of Non-Alcoholic Fatty Liver Disease and Metabolic-Associated Fatty Liver Disease with COVID-19-Related Intensive Care Unit Outcomes: A Systematic Review and Meta ‚Ä¶,0.375,0.625,0,1
Association of Ontario‚Äôs ban on menthol cigarettes with smoking behavior 1 month after implementation,0,1,1,0
Association of Procalcitonin Level With Superimposed Infection and Early Antibiotic Discontinuation in COVID-19 Patients,1,0,0,1
Association of Renin Angiotensin Aldosterone System Inhibitors and Outcomes of Hospitalized Patients With COVID-19,0.285714286,0.714285714,0,1
"Association of Vitamin C, Thiamine, and Hydrocortisone Infusion With Long-term Cognitive, Psychological, and Functional Outcomes in Sepsis Survivors: A Secondary Analysis of ‚Ä¶",0.478991597,0.521008403,0,1
Association of cardiovascular disease with coronavirus disease 2019 (COVID-19) severity: a meta-analysis,0.5,0.5,0,1
Association of cervical ribs with pediatric cancer: evidence from a meta-analysis,0.6,0.4,0,1
Association of cigarette and electronic nicotine delivery systems use with internalizing and externalizing problems among US adults: findings from wave 3 (2015‚Äì2016) of the ‚Ä¶,0,1,1,0
Association of cigarette production and tobacco retailer density on secondhand smoke exposure in urban China,0.5,0.5,1,0
Association of coagulation profile and adverse events among cardiovascular surgery patients with temporary epicardial pacing wires removals: a tertiary care teaching hospital ‚Ä¶,1,0,0,1
Association of dementia and patient outcomes among COVID-19 patients: A multi-center retrospective case-control study,0.4,0.6,0,1
Association of early steroid administration with outcomes of children hospitalized for COVID-19 without Multisystem inflammatory syndrome in children,0.548387097,0.451612903,0,1
Association of emergency department waiting times with patient experience in admitted and discharged patients,0.428571429,0.571428571,0,1
Association of extubation failure and functional outcomes in patients with acute neurologic illness,0.5,0.5,0,1
"Association of gender, age, and race on renal outcomes and mortality in patients with severe sepsis and septic shock",0.5,0.5,0.5,0.5
Association of hypothyroidism with outcomes in hospitalized adults with COVID‚Äê19: Results from the International SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,0.222222222,0.777777778,0,1
Association of latitude and altitude with adverse outcomes in patients with COVID-19: The VIRUS registry,0.2,0.8,0,1
Association of migraine headaches with anatomical variations of the Circle of Willis: Evidence from a meta-analysis,0.5,0.5,0,1
Association of non-alcoholic fatty liver and metabolic-associated fatty liver with COVID-19 outcomes: A systematic review and meta-analysis,0.375,0.625,0,1
"Association of obesity with COVID-19 severity and mortality: An updated systemic review, meta-analysis, and meta-regression",0.533333333,0.466666667,0,1
Association of plasma volume status with outcomes in hospitalized Covid-19 ARDS patients: A retrospective multicenter observational study,0.272727273,0.727272727,0,1
Association of post-intubation hemodynamic instability in an adult ICU with in-hospital mortality and ICU length of stay,0,1,0,1
Association of septic shock definitions and standardized mortality ratio in a contemporary cohort of critically ill patients,0.6,0.4,0,1
Association of unit-level telecritical care intensity of service and length of stay in the intensive care unit,0.666666667,0.333333333,1,0
Associa√ß√£o entre a exposi√ß√£o a ma√ßos de cigarros em pontos de venda e susceptibilidade ao tabagismo entre adolescentes brasileiros,0.5,0.5,1,0
Atrial natriuretic factor in oliguric acute renal failure,0.5,0.5,1,0
Atypical Thyroid Function Tests and Thyroid Hormone Resistance,0.666666667,0.333333333,0,1
Aurora kinase A inhibition with MLN8054 radiosensitizes prostate cancer by inducing cell cycle arrest leading to increased prolonged DNA damage and apoptosis,0.333333333,0.666666667,0,1
Australia tightens its prescription-only regulation of e-cigarettes,0,1,1,0
"Autoimmune myasthenia, primary adrenal insufficiency, and progressive hypothyroidism due to pembrolizumab and axitinib combination regimen",0.5,0.5,0,1
Automatic Mapping of Acute Physiology and Chronic Health Evaluation (APACHE) IV Diagnostic Categories Using Natural Language Processing.,1,0,0,1
Autophagy in lung cancer,0,1,0,1
Autophagy upregulation by inhibitors of caspase-3 and mTOR enhances radiotherapy in a mouse model of lung cancer,0.333333333,0.666666667,0,1
Availability and price distribution of three popular brand variants,0.666666667,0.333333333,1,0
Awareness of renal impairment in prescribing magnesium containing compounds in hospitalized patients.,1,0,1,0
"B-PO02-184 USE OF A NOVEL RANK ORDER SCORE TO PRIORITIZE DETECTION OF LETHAL ARRHYTHMIAS IN THE SECONDARY, OFF-SITE MONITORING OF HOSPITALIZED PATIENTS",0.5,0.5,1,0
B-Type Natriuretic Peptide and Acute Kidney Injury: Not Yet Ready for Prime Time,0,1,0,1
B105 IMPROVING PATIENT EXPERIENCE IN CRITICAL CARE: Racial Disparities In End Of Life Decision Making In The Intensive Care Unit: A Pilot Study,0.4,0.6,0,1
B47 ACUTE RESPIRATORY DISTRESS SYNDROME: Ards Resolution And 180 Days Survival,0.333333333,0.666666667,0,1
"B47 CRITICAL CARE: CLINICAL RESEARCH DISCOVERIES, EPIDEMIOLOGY, AND HEALTH SERVICES FOR SEPSIS: Association Lactate Reduction In Severe Sepsis Hospital Outcomes",1,0,0,1
B48 SEPSIS AND PNEUMONIA: TREATMENT AND OUTCOMES: Long-Term Use Of Beta Blockers Is Protective In Severe Sepsis And Septic Shock,0.333333333,0.666666667,0,1
"BIOMARKERS OF ACUTE LUNG INJURY IN FRESH AND"" WASTE"" BLOOD SPECIMENS",1,0,0,1
BUREAUX DE LA R√âDACTION‚Ä¢ EDITORIAL OFFICES,0.53125,0.46875,1,0
Bacteraemia and Hickman catheters,1,0,1,0
Bacterial DNA induces pulmonary damage via TLR9 through cross-talk with neutrophils,0.285714286,0.714285714,0,1
Balancing risks and benefits of E-cigarettes in the real world,0.5,0.5,1,0
Ban on menthol-flavoured tobacco products predicts cigarette cessation at 1 year: a population cohort study,0.2,0.8,1,0
Banff 2022 Liver Group Meeting Report: Monitoring Long Term Allograft Health,0.45,0.55,0,1
Banning menthol-flavored cigarettes: How do tobacco companies respond?,0.333333333,0.666666667,1,0
Barriers and facilitators to resuming meaningful daily activities among critical illness survivors in the UK: a qualitative content analysis,0.25,0.75,1,0
Bedside clinicians‚Äô perceptions on the contributing role of diagnostic errors in acutely ill patient presentation: a survey of academic and community practice,0.545454545,0.454545455,0,1
Bedside contrast-enhanced ultrasound diagnosing cessation of cerebral circulation in a neonate: a novel bedside diagnostic tool,0,1,0,1
Bedside implementation of a readmission prediction model (Stability and Workload Index for Transfer) in the medical intensive care unit,0.333333333,0.666666667,0,1
Bedside nurse acceptance of intensive care unit telemedicine presence,1,0,1,0
Beliefs and attitudes,0.5,0.5,1,0
Beliefs and characteristics associated with believing nicotine causes cancer: a descriptive analysis to inform corrective message content and priority audiences,0.666666667,0.333333333,1,0
"Benefits of peer support for intensive care unit survivors: sharing experiences, care debriefing, and altruism",0.75,0.25,1,0
Best Practices for Developing an Online Course for Public Health Professionals,1,0,1,0
Best practice for CRISPR design using current tools and resources,0,1,0,1
"Best"" Better early stroke treatment"": Implementation of nursing questionnaire triage of acute ischemic stroke patients",1,0,0,1
Beyond gutka: evidence of illegal smokeless tobacco in rural and semi-urban areas in India,0.25,0.75,1,0
"Beyond the nuts and bolts: Tele-critical care patients, workflows, and activity patterns",0.6,0.4,1,0
"Big Tobacco, Tiny Targets: Campaign success in passing a TAPS ban in Georgia and keys to campaign success",0.5,0.5,1,0
Biliary Tube Placement at the Time of Liver Transplantation Reduces Non-Therapeutic ERCP,0.333333333,0.666666667,0,1
Billing and Coding for Procedures,0,1,0,1
BioMart Central Portal: an open database network for the biological community,0.315789474,0.684210526,0,1
BioMart as an integration solution for the International Knockout Mouse Consortium,0,1,0,1
Biomarker-Concordant Steroid Administration in Severe Coronavirus Disease-2019,0.2,0.8,0,1
"Biomarkers of secondhand smoke exposure in waterpipe tobacco venue employees in Istanbul, Moscow, and Cairo",0.625,0.375,1,0
Biostatistics Reviewer List 2020,1,0,0,1
Bladder urine oxygen partial pressure monitoring: Could it be a tool for early detection of acute kidney injury?,1,0,0,1
Blog fog? Using rapid response to advance science and promote debate,0.5,0.5,1,0
"Blood Pressure Hemodynamics in Acute Ischemic Stroke: Association with Stroke Severity, Disability and Death",0.833333333,0.166666667,0,1
"Blood Product Transfusion And Acute Kidney Injury In Severe Sepsis, Septic Shock Patients",0.2,0.8,0,1
Blood lactate concentration in COVID-19: A systematic literature review,0.6,0.4,0,1
Blue Light-Induced Photorelaxation of Colonic Smooth Muscle,0,1,0,1
Body Mass Index and Risk for Intubation or Death in SARS-CoV-2 Infection,0.333333333,0.666666667,0,1
"Borges, DR, see K√∂pke-Aguiar, LA,(84) 117 Branquinho, MS, see Kirchgatter, K.,(84) 199 Bygbjerg, IC, see Magesa, SM,(84) 83",1,0,1,0
Bradley Alge Purdue University Maureen Ambrose University of Central Florida,0.333333333,0.666666667,1,0
"Brain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease (vol 2016, 9571464, 2016)",0.25,0.75,0,1
Brain Contrast-Enhanced Ultrasound Evaluation of a Pediatric Swine Model,0.666666667,0.333333333,0,1
Brain Targeted Xenon Protects Cerebral Vasculature after Traumatic Brain Injury,0.5,0.5,0,1
Brain activation and psychomotor speed in middle-aged patients with type 1 diabetes: relationships with hyperglycemia and brain small vessel disease,0.25,0.75,0,1
Brain contrast-enhanced ultrasonography and elastography in infants,0.4,0.6,0,1
Brain contrast-enhanced ultrasound and elastography in infants,0.4,0.6,0,1
Brain imaging: assessing therapy responses using quantitative imaging biomarkers,0,1,0,1
Brazil's additive ban: understanding the importance of packaging,0.5,0.5,1,0
Bridging the great divide between theoretical and empirical management research,0,1,1,0
Brief index of adaptive behavior,1,0,1,0
"Brown, TG, 585 Bull, SB, 49 Burleson, JA, 737",1,0,1,0
Bubble CPAP: not all bubbling is good bubbling,0,1,0,1
Building a novel inpatient diabetes management mentor program: A blueprint for success,0.666666667,0.333333333,1,0
"C. Braz, R. Castro-Ferreira, P. Dias, S. Sampaio, J. Teixeira Faculdade de Medicina da Universidade do Porto, Portugal E-mail address: carolina. c. braz@ gmail. com",0.5,0.5,0,1
"C., MOSS, B., GERMAIN, RN & BERZOFSKY, JA (1988). An immunodominant epitope of the human immunodeficiency virus envelope glycoprotein gpl60 recognised by class I MHC restricted ‚Ä¶",1,0,1,0
C102 DEVELOPING AND VALIDATING METRICS AND TOOLS TO MEASURE AND IMPROVE RESPIRATORY HEALTH: Retrospective Derivation And Validation Of A Search Algorithm To Identify Acute ‚Ä¶,1,0,0,1
C26 TREATMENT OF RESPIRATORY INFECTIONS: Epidemiology And Outcomes Of Empyema: A Single Center's Experience Of 11 Years,0.25,0.75,0,1
C43 CRITICAL CARE: NEW CARE APPROACHES: Resource Utilization And Multiple Activations Of The Rapid Response System,0.5,0.5,0,1
C45 MECHANICAL VENTILATION: Association Of Post-Intubation Hemodynamic Instability In An Adult Icu With In-Hospital Mortality And Icu Length Of Stay,1,0,0,1
C45 MECHANICAL VENTILATION: The Clinical Pulmonary Infection Score And Ventilator Associated Events,0.666666667,0.333333333,0,1
C47 SURVIVING SEPSIS: MANAGING THE CARE CONTINUUM: Retrospective Analysis Of Fluid Balance In The First 48 Hours Of Sepsis And Outcome,0.75,0.25,0,1
C48 RESUSCITATION: INCREASING BENEFIT AND DECREASING HARM: Sodium Correction Practice In Profound Hyponatremia: Experience In A Tertiary Referral Centre,1,0,0,1
C49 REFINING QUALITY AND COMMUNICATION IN THE ICU: Factors Influencing Icu Admission In Patients Hospitalized With Influenza,0,1,0,1
CARDIAC COMPLICATIONS AMONG LONG COVID PATIENTS: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.363636364,0.636363636,0,1
CARDIAC TAMPONADE AND SHOCK DUE TO MYOCARDITIS IN A PATIENT WITH H1N1 INFLUENZA INFECTION,0.5,0.5,0,1
CDC Grand Rounds: global tobacco control,0.666666667,0.333333333,1,0
CERTAIN Program: Logic Model for System Level Planning and Evaluation of Innovative Education Delivery and Dissemination,0.555555556,0.444444444,0,1
CEUS zur Feststellung des Hirntodes bei Neu-geborenen geeignet?,1,0,0,1
CLINICAL ALERTS BEYOND SIMPLE DETECTION. ELECTRONIC SURVEILLANCE OF FAILURE TO RESCUE IN SEPTIC SHOCK.,1,0,0,1
CLINICAL OUTCOMES IN ISCHEMIC AND NEPHROTOXIC ACUTE TUBULAR-NECROSIS (ATN),1,0,1,0
CNS student competencies in outcomes planning and evaluation: curricular considerations and exemplars,0.75,0.25,1,0
COMPARATIVE IMMUNOGENICITY OF THE MALARIA VACCINE CANDIDATE MSP-1~ 4~ 2 FORMULATED IN SBAS2 OR ALUMINUM HYDROXIDE IN RHESUS MONKEYS,1,0,1,0
COMPARISON OF SERIAL VITAL SIGN MEASUREMENTS AROUND THE TIME OF PRESENTATION OF EITHER ACUTE LUNG INJURY OR CARDIOGENIC PULMONARY EDEMA,0.1,0.9,0,1
COMPLETE NUCLEOTIDE-SEQUENCE OF 2 WOODCHUCK HEPATITIS VIRUSES-EVIDENCE FOR EMERGENCE OF SUBTYPES,1,0,1,0
COMPLIANCE WITH ATS FIVC ACCEPTABILITY CRITERIA IN A MIXED POPULATION OF PATIENTS PERFORMING PULMONARY FUNCTION TESTING,0.333333333,0.666666667,0,1
COMPREHENSIVE TOBACCO CONTROL PROGRAMS: A REVIEW AND SYNTHESIS OF EVALUATION STRATEGIES,1,0,1,0
CONCURRENT TARGETING OF ALLO-AND TISSUE-SPECIFIC AGS TO HOST REGULATORY DC PROMOTES LONG-TERM HEART ALLOGRAFT SURVIVAL.,0.25,0.75,0,1
COVID-19 HOSPITALIZATION PATTERNS THROUGHOUT THE PANDEMIC ACROSS 10 US DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS) REGIONS,0.666666667,0.333333333,0,1
COVID-19 Misinformation: A Potent Co-Factor in the COVID-19 Pandemic,0.25,0.75,0,1
COVID-19 and antiphospholipid antibodies: time for a reality check?,1,0,0,1
COVID-19 and chronic diabetes: the perfect storm for reactivation tuberculosis?: a case series,0.4,0.6,0,1
COVID-19 and its long-term sequelae: what do we know in 2023,0.5,0.5,0,1
COVID-19 and obesity: links and risks,0.5,0.5,0,1
COVID-19 and smoking: considerations after two years,0.5,0.5,0,1
COVID-19 in Italy versus China,0.666666667,0.333333333,0,1
COVID-19 in pregnancy: underestimated risk,1,0,0,1
COVID-19 induced reninâ€“angiotensin system (RAS) imbalance may drive acute lung injury: the evidence and therapeutic options,1,0,0,1
COVID-19 pandemic: an opportunity for tobacco use cessation,0,1,1,0
COVID-19 related disruptions to medical education and perceived clinical capability of new resident physicians: a nationwide study of over 1200 first-year residents,0.333333333,0.666666667,0,1
COVID-19 vaccination and SARS-CoV-2 Omicron (B. 1.1. 529) variant: a light at the end of the tunnel?,1,0,0,1
COVID-19 vaccination in patients taking immunosuppressant drugs: what is the best strategy for improving immunogenicity?,1,0,0,1
COVID-19 vaccination uptake strongly predicts averted deaths of older people across Europe,1,0,0,1
COVID-19 vaccination uptake strongly predicts averted deaths of older people across Europe (preprint),1,0,0,1
"COVID-19: Testing Landscape Post-Infection,-Vaccination, and Future Perspectives",1,0,0,1
COVID-19: unravelling the clinical progression of natureâ€™s virtually perfect biological weapon,0.5,0.5,0,1
CRISPR activation screen in mice identifies novel membrane proteins enhancing pulmonary metastatic colonisation,0.5,0.5,0,1
CRISPR-Cas9 enables conditional mutagenesis of challenging loci,0.625,0.375,0,1
"CS protein-specific opsonizing antibodies induced by the RTS, S malaria vaccine mediate protection",1,0,1,0
CT-Determined Maximum Pulmonary Artery to Ascending Aorta Diameter Ratio in Nonsevere COVID-19 Patients,0,1,0,1
CURB-65 Predicts Mortality Better in Patients With Health-care-Associated Than Community-Acquired Pneumonia,0.25,0.75,0,1
Calf rotavirus infection: vaccination and passive immunity,1,0,1,0
Can Ultrasound-Guided Xenon Delivery Provide Neuroprotection in Traumatic Brain Injury?,0.666666667,0.333333333,0,1
Can cellular and humoral immunity predict response to BNT162b2 bivalent booster?,1,0,0,1
Can pricing deter adolescents and young adults from starting to drink,0,1,1,0
Can pricing deter adolescents and young adults from starting to drink: an analysis of the effect of alcohol taxation on drinking initiation among Thai adolescents and young adults,0,1,1,0
Can we find better bronchodilators to relieve asthma symptoms?,1,0,0,1
Canada: Public attitudes toward tobacco control policies: How different are smokers and non-smokers?,1,0,1,0
Canada: Public attitudes towards tobacco control policies: Current attitudes and changes in support over time,1,0,1,0
"Canadian Journal of Public Health; Nov/Dec 2001; 92, 6; CBCA Complete pg. 407",1,0,1,0
Canadian legislators‚Äô knowledge of and attitudes towards tobacco and tobacco control,1,0,1,0
Canadian legislators‚Äô support for tobacco control policies,1,0,1,0
Cardiac arrest in children following cardiac surgery: a scoping review of contributing factors,0,1,0,1
Cardiac biomarkers in COVID-19: a narrative review,0.5,0.5,0,1
Cardiovascular safety of potential drugs for the treatment of coronavirus disease 2019,0.333333333,0.666666667,0,1
Caring for patients in a hospitalist‚Äêrun clinical decision unit is associated with decreased length of stay without increasing revisit rates,0,1,0,1
Caring for survivors of critical illness: current practices and the role of the nurse in intensive care unit aftercare,1,0,1,0
Caring for the critical illness survivor: current practices and the role of the nurse in ICU aftercare,1,0,1,0
Carotid approach to anterior circulation thromboembolectomy in an adult with failing fontan physiology: a case report,0.2,0.8,0,1
Causal inference when counterfactuals depend on the proportion of all subjects exposed,1,0,0,1
Cease with mondays: Assessing the impact of a peer-led smoking cessation program,0.5,0.5,1,0
Cefepime Use and Acute Brain Injury in Critically Ill Patients,0,1,0,1
Cefepime: an underrecognized cause of nonconvulsive status epilepticus,0.6,0.4,0,1
Cell cycle and vascular targets for radiotherapy,0.25,0.75,0,1
"Cell-Free DNA, Neutrophil extracellular traps (NETs), and Endothelial Injury in Coronavirus Disease 2019â€“(COVID-19â€“) Associated Acute Kidney Injury",0.4,0.6,0,1
Cell-To-Cell Communication via Gap Junctions is Critical in Force Generation and Maintenance in Airway Smooth Muscle,0.666666667,0.333333333,0,1
Cell-mediated therapies to facilitate operational tolerance in liver transplantation,0,1,0,1
Cellular immunity against SARS-CoV-2 depends on the serological status,1,0,0,1
Cerebral Venous Sinus Thrombosis as a Complication of COVID-19 Vaccination,1,0,0,1
Cerebral blood flow of the neonatal brain after hypoxic‚Äìischemic injury,0.2,0.8,0,1
Cerebral microcirculation mapped by echo particle tracking velocimetry quantifies the intracranial pressure and detects ischemia,0.5,0.5,0,1
Cerebral pulsed arterial spin labeling perfusion weighted imaging predicts language and motor outcomes in neonatal hypoxic-ischemic encephalopathy,0.125,0.875,0,1
Cerebral vascular super resolution imaging and blood flow measurement using ultrasound enhanced particle tracking velocimetry,0.333333333,0.666666667,0,1
Cerebrospinal Fluid Flow Detection in Post‚Äêhemorrhagic Hydrocephalus With Novel Microvascular Imaging Modality,0.5,0.5,0,1
Cerebrovascular disease is associated with an increased disease severity in patients with Coronavirus Disease 2019 (COVID-19): A pooled analysis of published literature,0.5,0.5,0,1
Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,0.333333333,0.666666667,0,1
Cervical rib prevalence and its association with Thoracic Outlet Syndrome: a meta-analysis of 141 studies with surgical considerations,0.5,0.5,0,1
Changes in cognitive function after pediatric intensive care unit rounds: a prospective study,0,1,0,1
Changes in nicotine dependence among smokers using electronic cigarettes to reduce cigarette smoking in a randomized controlled trial,0.5,0.5,1,0
"Changes in retail tobacco promotions in a cohort of stores before, during, and after a tobacco product display ban",0.4,0.6,1,0
Characteristics and operative outcomes for children undergoing repair of truncus arteriosus: a contemporary multicenter analysis,0.375,0.625,0,1
Characteristics and outcomes of individuals with pre-existing kidney disease and COVID-19 admitted to intensive care units in the United States,0.434210526,0.565789474,0,1
Characteristics and outcomes of kidney transplant recipients requiring high-acuity care after transplant surgery: a 10-year single-center study,0,1,0,1
Characteristics and surgical outcomes of patients with late presentation of anomalous left coronary artery from the pulmonary artery: a multicenter study,0.25,0.75,0,1
Characteristics of Phase IV clinical trials in oncology: an analysis using the ClinicalTrials. gov registry data,0.333333333,0.666666667,0,1
Characteristics of patients readmitted to the ICU,0.25,0.75,0,1
Characteristics of post-ICU and post-COVID recovery clinics in 29 US health systems,0.4,0.6,1,0
"Characterization and outcomes of hospitalized children with coronavirus disease 2019: a report from a multicenter, viral infection and respiratory illness universal study ‚Ä¶",0.642857143,0.357142857,0,1
Characterization of neonatal calf and piglet rotavirus genome by electrophoresis in polyacrylamide gel,1,0,1,0
Characterization of the significant decline in humoral immune response six months postâ€SARSâ€CoVâ€2 mRNA vaccination: A systematic review,0.2,0.8,0,1
Characterizing the neonatal brain with ultrasound elastography,0.5,0.5,0,1
Checklist for Early Recognition and Treatment of Acute Illness (CERTAIN): evolution of a content management system for point-of-care clinical decision support,0.555555556,0.444444444,0,1
Checklist for early recognition and treatment of acute illness and injury: an exploratory multicenter international quality-improvement study in the ICUs with variable resources,0.285714286,0.714285714,0,1
Checklist for early recognition and treatment of acute illness: International collaboration to improve critical care practice,0.333333333,0.666666667,0,1
Chemical treatment of spent carbon liners used in the electrolytic production of aluminum,0,1,0,1
Chloride Cycle Generates Depolarization Mediated Airway Smooth Muscle Contraction,1,0,0,1
Chloride channel and chloride transporter modulators for therapy in smooth muscle diseases,0.5,0.5,0,1
Chloride channel blockade relaxes airway smooth muscle and potentiates relaxation by Î²-agonists,0.25,0.75,0,1
Chloride channel blockers promote relaxation of TEA-induced contraction in airway smooth muscle,0.6,0.4,0,1
Chloride in airway smooth muscle: the ignored anion no longer?,0.5,0.5,0,1
Choledochoduodenostomy is an excellent alternative to Roux y choledochojejunostomy or choledochocholedochostomy,1,0,0,1
Chronic Diseases and Injuries in Canada,1,0,1,0
Chronic kidney disease is associated with severe coronavirus disease 2019 (COVID-19) infection,1,0,0,1
Chronic liver disease is not associated with severity or mortality in Coronavirus disease 2019 (COVID-19): a pooled analysis,1,0,0,1
Chronic obstructive pulmonary disease is associated with severe coronavirus disease 2019 (COVID-19),1,0,0,1
Chronic use of angiotensin pathway inhibitors is associated with a decreased risk of acute respiratory distress syndrome.,1,0,0,1
Chronotype distribution in bipolar disorder and major depressive disorder in an in-patient sample at a tertiary care center,1,0,0,1
"Cigarette excise taxes, clean indoor air laws, and use of smoking cessation treatments: A mediation analysis",0,1,1,0
Cigarette pack structure elements in low-and middle-income countries,0.666666667,0.333333333,1,0
Cigarette packs with urls leading to tobacco company websites: content analysis,1,0,1,0
Cigarette price and smoking behaviours in Canadian provinces: a longitudinal analysis,1,0,1,0
Cigarette smoking and risk of breast cancer mortality: effect modification of alcohol?,1,0,1,0
Cigarette stick as valuable communicative real estate: a content analysis of cigarettes from 14 low-income and middle-income countries,0.5,0.5,1,0
Cin√©tiques de d√©sionisation et cristallisation par √©lectrodialyse et dialyse des suspensions de gel d‚Äôhydroxyde d‚Äôaluminium role de la double couche ionique,1,0,1,0
Circaseptan (weekly) rhythms in smoking cessation considerations,0,1,1,0
Circulating Levels of Tissue Plasminogen Activator and Plasminogen Activator Inhibitor-1 Are Independent Predictors of Coronavirus Disease 2019 Severity: A Prospective â€¦,0.333333333,0.666666667,0,1
Circulating level of Angiopoietin-2 is associated with acute kidney injury in coronavirus disease 2019 (COVID-19),0.5,0.5,0,1
Circulating plasma levels of angiotensin II and aldosterone in patients with coronavirus disease 2019 (COVID-19): a preliminary report,0.666666667,0.333333333,0,1
Circulating plasminogen concentration at admission in patients with coronavirus disease 2019 (COVID-19),0.5,0.5,0,1
Claims of reduced odor on tobacco packs in low-and middle-income countries,0.5,0.5,1,0
Classification of distinct patterns of ischemic cholangiopathy following DCD liver transplantation: distinct clinical courses and long-term outcomes from a multicenter cohort,0.692307692,0.307692308,0,1
