Publication Title,Author_2017_female,Author_2017_male,Author_2023_female,Author_2023_male,Fork_2017_female,Fork_2017_male,Fork_2023_female,Fork_2023_male
Harmonization of SARS-CoV-2 antigen immunoassays: are they measuring the same â€œthingâ€,,,1,0,,,0,1
Heterogeneous treatment effects of therapeutic-dose heparin in patients hospitalized for COVID-19,,,0.53968254,0.46031746,,,0,1
High variability in cardiac education and experiences during United States paediatric critical care fellowships,,,0,1,,,0,1
Hospital factors that influence ICU admission decision-making: a qualitative study of eight hospitals,,,0.5,0.5,,,1,0
How Media Stories in Low-and Middle-Income Countries (LMICs) Discussed the US Food and Drug Administration‚Äôs (FDA‚Äôs) Modified Risk Tobacco Product (MRTP) Order for IQOS,,,0,1,,,1,0
How often do medical students change career preferences over the course of medical school?,,,0.75,0.25,,,0,1
How the FDA Can Improve Public Health‚ÄîHelping People Stop Smoking,,,1,0,,,1,0
Humoral Response in Hemodialysis Patients Post-SARS-CoV-2 mRNA Vaccination: A Systematic Review of Literature,,,0.333333333,0.666666667,,,0,1
Impact of Food Environments on Obesity Rates: A State-Level Analysis,,,0.75,0.25,,,0,1
Impact of the COVID-19 pandemic on the volume of laboratory testing,,,1,0,,,0,1
"Implementation of a Virtual Interprofessional ICU Learning Collaborative: Successes, Challenges, and Initial Reactions From the Structured Team-Based Optimal Patient-Centered ‚Ä¶",,,0.444444444,0.555555556,,,0,1
Importance of Reconnection With ICU Survivors to ICU Recovery Program Clinicians,,,0.481481481,0.518518519,,,1,0
Improvement in Cognitive Processing Speed With Ofatumumab in Patients With Relapsing Multiple Sclerosis,,,0.75,0.25,,,1,0
In silico evaluation of the impact of Omicron variant of concern sublineage BA. 4 and BA. 5 on the sensitivity of RTâ€qPCR assays for SARSâ€CoVâ€2 detection using whole genome â€¦,,,1,0,,,0,1
"Infusion reactions to adenoâ€associated virus (AAV)-based gene therapy: Mechanisms, diagnostics, treatment and review of the literature",,,1,0,,,0,1
Innovations that harm: tobacco product and packaging in low-income and middle-income countries,,,0,1,,,1,0
Issues in multi-organ transplantation of the liver with kidney or heart in polycystic liver-kidney disease or congenital heart disease: Current practices and immunological aspects,,,0,1,,,0,1
Liraglutide-Induced Pancreatitis: A Case Report and Literature Review,,,0.5,0.5,,,0,1
Longitudinal Changes in the Operative Experience for Junior Urology Residents,,,0.333333333,0.666666667,,,0,1
Longitudinal analysis of electrolyte prolife in intensive care COVID-19 patients,,,0.666666667,0.333333333,,,0,1
Making Sense of Monkeypox: A Comparison of Other Poxviruses to the Monkeypox,,,0.5,0.5,,,0,1
Menthol and Other Flavor Chemicals in Cigarettes from Vietnam and the Philippines,,,0.666666667,0.333333333,,,1,0
Mitigation of SARS-CoV-2 by Using Transition Metal Nanozeolites and Quaternary Ammonium Compounds as Antiviral Agents in Suspensions and Soft Fabric Materials,,,0.333333333,0.666666667,,,0,1
Monday-Enhanced CEASE Program for Underserved Ethnic Minorities: a Mixed-Methods Study,,,0.375,0.625,,,1,0
"Moving hearts and minds: how the Big Tobacco, Tiny Targets campaign builds support for tobacco control policy",,,0.666666667,0.333333333,,,1,0
Multi-Lobar Atelectasis in Children Receiving Venoarterial Extracorporeal Membrane Oxygenation for Cardiac Indications,,,0,1,,,0,1
Multidisciplinary ICU recovery clinic visits: a qualitative analysis of patient-provider dialogues,,,1,0,,,1,0
Mutually exclusive genetic interactions and gene essentiality shape the genomic landscape of primary melanoma,,,0.375,0.625,,,0,1
Negative preoperative RT-PCR screening is no guaranty of no SARS-CoV-2 infection,,,1,0,,,0,1
Neonatal neurosonography practices: a survey of active Society for Pediatric Radiology members,,,0.75,0.25,,,0,1
Neurological and Psychological Sequelae Associated With Multisystem Inflammatory Syndrome in Children,,,0.466666667,0.533333333,,,0,1
Neuromonitoring During ECMO Support in Children,,,0.5,0.5,,,0,1
"New policy of people-first language to replace ‚Äòsmoker‚Äô,‚Äòvaper‚Äô‚Äòtobacco user‚Äôand other behaviour-based labels",,,0.5,0.5,,,1,0
Novel Benchmark for Adult-to-Adult Living-Donor Liver Transplantation. Integrating Eastern and Western Experiences,,,0.206896552,0.793103448,,,0,1
Operational definitions related to pediatric ventilator liberation,,,0.5,0.5,,,0,1
Outcomes of extracorporeal life support for respiratory failure in children with primary immunodeficiencies,,,0.5,0.5,,,0,1
Patient-provider Evaluation of Driving Decisions After Critical Illness: Qualitative Analysis of Intensive Care Unit Recovery Clinic Visits,,,1,0,,,1,0
Perceived effectiveness of four different cigarette health warning label themes among a sample of urban smokers and non-smokers in China,,,0.5,0.5,,,1,0
Plant-based diet and its effect on coronary artery disease: A narrative review,,,0.142857143,0.857142857,,,0,1
Pooled analysis of diagnostic performance of the instrument-read Quidel Sofia SARS antigen Fluorescent Immunoassay (FIA),,,0.5,0.5,,,0,1
Pooled analysis of diagnostic performance of the instrument-read Quidel Sofia SARS antigen Fluorescent Immunoassay (FIA)(preprint),,,0.5,0.5,,,0,1
Pooled analysis of efficacy of the fourth mRNA-based COVID-19 vaccine dose in eliciting anti-SARS-CoV-2 serum antibody response in the general immunocompetent population,,,1,0,,,0,1
Pooled analysis of laboratory-based SARS-CoV-2 antigen immunoassays,,,0.5,0.5,,,0,1
Population-based analysis of POT1 variants in a cutaneous melanoma case‚Äìcontrol cohort,,,0.2,0.8,,,0,1
Positivization time of a COVID-19 rapid antigen self-test predicts SARS-CoV-2 viral load: a proof of concept,,,0.666666667,0.333333333,,,0,1
Post-COVID or long-COVID? That is the question. Authors' reply,,,0.5,0.5,,,0,1
Postâ€‘COVID or longâ€‘COVID? That is the question,,,0.5,0.5,,,0,1
Procedural outcomes of pulmonary atresia with intact ventricular septum in neonates: a multicenter study,,,0.375,0.625,,,0,1
Prospects for Direct Detection of Black Hole Formation in Neutron Star Mergers with Next-Generation Gravitational-Wave Detectors,,,0.125,0.875,,,0,1
Radiology Gets Chatty: The ChatGPT Saga Unfolds,,,0,1,,,0,1
Real-world assessment of the clinical performance of COVID-VIRO ALL IN rapid SARS-CoV-2 antigen test,,,1,0,,,0,1
Reliability of a single-nostril nasopharyngeal swab for diagnosing SARS-CoV-2 infection,,,1,0,,,0,1
Respiratory and other systemic complications of coronavirus disease 2019 in adults: A narrative review,,,0.545454545,0.454545455,,,0,1
Results of the first survey of the EFLM Task Force Preparation of Labs for Emergencies (TF-PLE),,,0.5,0.5,,,0,1
"Retrospective analysis of early COVID-19 vaccine efficacy in older individuals receiving primary cycle, first booster and second booster",,,1,0,,,0,1
Return to Driving After Critical Illness,,,1,0,,,1,0
Safety monitoring of drug-induced muscle injury and rhabdomyolysis: a biomarker-guided approach for clinical practice and drug trials,,,0.75,0.25,,,0,1
"Sensitivity analysis for transportability in multi-study, multi-outcome settings",,,0,1,,,0,1
Septic shock definitions and associated outcomes in blood culture positive critically ill patients,,,0.25,0.75,,,0,1
Serum vitamin D concentration is lower in patients with tinnitus: a meta-analysis of observational studies,,,0.666666667,0.333333333,,,0,1
Shared perceptions of flavored cigarette pack design among young adults who smoke in Mexico and the Philippines,,,1,0,,,1,0
"Smoking, e-cigarettes and the effect on respiratory symptoms among a population sample of youth: Retrospective cohort study",,,0.375,0.625,,,1,0
Spatiotemporal Analysis of COVID-19 Hospitalization and ICU Patterns in the United States,,,0.4,0.6,,,0,1
Spinning a global web: tactics used by Big Tobacco to attract children at tobacco points-of-sale,,,0.666666667,0.333333333,,,1,0
Staged vs complete repair in tetralogy of Fallot with pulmonary atresia,,,0.4375,0.5625,,,0,1
Straw cigarette branding: misleading descriptors and a new Marlboro man,,,0.5,0.5,,,1,0
Survey and Evaluation of Hypertension Machine Learning Research,,,0.55,0.45,,,0,1
The Impact of Asthma and Metabolic Syndrome in COVID-19: An Analysis of the Virus COVID-19 Registry,,,1,0,,,0,1
The Role of Preoperative Magnetic Resonance Cholangiopancreatography/Endoscopic Retrograde Cholangiopancreatography in the Setting of Mildly Elevated Liver Enzymes Prior to ‚Ä¶,,,0.333333333,0.666666667,,,0,1
The Vaping and Patterns of e-Cigarette Use Research Study: Protocol for a Web-Based Cohort Study,,,0.5,0.5,,,1,0
The association between viewing cigarette health warning labels and intention to quit smoking among Chinese adult smokers: support for including health outcome content and ‚Ä¶,,,1,0,,,1,0
The problematic use of cultural symbols on Chinese cigarette packs,,,0.5,0.5,,,1,0
Therapeutic Use of Baricitinib in Covid-19: A Systematic Review and Meta-Analysis,,,0.444444444,0.555555556,,,0,1
Things We Do For No Reason‚Ñ¢: Intensifying antihypertensive medications for hospitalized patients at the time of discharge,,,0.5,0.5,,,0,1
Timing of invasive mechanical ventilation and death in critically ill adults with COVID-19: A multicenter cohort study,,,0.333333333,0.666666667,,,0,1
Tobacco companies‚Äô creation of additional communication space: a content analysis of cigarette pack inserts and onserts,,,0.5,0.5,,,1,0
Topographic anatomy of the submental artery and its clinical implications for reconstructive surgery,,,0.333333333,0.666666667,,,0,1
Transtemporal brain contrast-enhanced ultrasound in children: Preliminary experience in patients without neurological disorders,,,0.5,0.5,,,0,1
Ultrasound‚ÄêEstimated Bladder Weight Correlates With Videourodynamic Studies in Neurogenic Bladder Dysfunction,,,0.5,0.5,,,0,1
Understanding US Health Insurance Experiences During Critical Illness Recovery: A Qualitative Study of Intensive Care Unit (ICU) Recovery Visits,,,1,0,,,1,0
Understanding and managing anxiety sensitivity during critical illness and long-term recovery,,,0.666666667,0.333333333,,,1,0
Understanding the biological success of SARS-CoV-2: immunoevasion strategies and beyond,,,1,0,,,0,1
Unique Presentation of Syphilis With Ocular Involvement: A Case Report,,,0,1,,,0,1
Universal Health Care System in India: An In-Depth Examination of the Ayushman Bharat Initiative,,,0,1,,,0,1
"WCN23-0181 CLINICAL PRESENTATION, EPIDEMIOLOGY, MANAGEMENT, AND FOLLOW-UP FOR PATIENTS DIAGNOSED WITH BARTTER SYNDROME: A SYSTEMATIC REVIEW OF CASE REPORTS AND CASE SERIES",,,1,0,,,0,1
Wake Up Call: Pediatric Cardiac Intensive Care Registered Nurse Well-Being,,,0.666666667,0.333333333,,,0,1
Â¿ Son los anticuerpos IgG e IgM contra los antÃ­genos S y N del SARS-CoV-2 siempre predictores de infecciÃ³n previa por SARS-CoV-2?,,,1,0,,,0,1
