orcid,type,name,gender,latitude,longitude,affiliation,cr_highest_degree,organization,department,institution_name,institution_place,institution_department,orcid_cr_combined_department,google_scholar_affiliation,google_scholar_name,gs_parsed_highest_degree,
0000-0003-0444-8606,co_author,Rik Gosselink,male,-33.9336165,18.8660085,Stellenbosch University,PhD,Vrije Universiteit Amsterdam,,,,,,"hoogleraar Revalidatiewetenschappen, KU Leuven",Rik Gosselink,,
0000-0002-3293-5201,co_author,Riley Carpenter,female,-33.9567559,18.4675777,University of Cape Town,Master of Commerce in Taxation,University of Cape Town,Department of Accounting,,,,Department of Accounting,"Associate Professor, College of Accounting, University of Cape Town",Riley Carpenter,associate professor,Master of Commerce in Taxation
0009-0005-2496-5493,co_author,Rimantas Vilcinis,male,,,Kaunas University of Medicine,,,,,,,,,,,
0000-0003-3263-166X,co_author,Risa Fuller,female,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,,,,,,,,
0000-0002-7140-0170,co_author,Rishik Vashisht,male,36.8624603,-76.3038338,Sentara Norfolk General Hospital,,,,,,,,Sentara Norfolk General Hospital,Rishik Vashisht,,
0000-0001-8366-4811,co_author,Rishikesan Kamaleswaran,male,33.7936353,-84.3221796,Emory University School of Medicine,PhD in Computer Science,University of Ontario Institute of Technology,,TechRxiv,,,,Duke University,Rishikesan Kamaleswaran,,PhD in Computer Science
0000-0003-0660-0018,co_author,Rita Igwilo,female,40.8542806,-73.8456159,Albert Einstein College of Medicine,,,,American Psychological Association,,,,"Clinical Researcher at Mayo Clinic, Rochester",Rita Igwilo-Alaneme,,
0000-0002-1530-6884,co_author,Rita Kalyani,female,39.3302022,-76.6218536,Johns Hopkins University,,,,,,,,Johns Hopkins University,Rita Kalyani,,
0000-0002-3902-6596,co_author,Rob Aalberse,male,,,Stichting Sanquin Bloedvoorziening,PhD,University of Amsterdam,Faculty of Science,,,,Faculty of Science,,,,
0000-0002-3865-0792,co_author,Rob Brisk,male,,,Southern Health and Social Care Trust,phd,,,,,,,"PhD student, Ulster University",Rob Brisk,phd,
0000-0002-4579-3855,co_author,Robert Bowers,male,,,U.S. Department of Energy Joint Genome Institute,,,,,,,,Joint Genome Institute,robert bowers,,
0000-0002-8690-999X,co_author,Robert Burton,male,-37.8774234,145.0449669,Monash University,,,,,,,,Ruralis,Rob j.f. Burton,,
0000-0002-9417-0726,co_author,Robert Carlier,male,48.8393452,2.1695084,Hopital Raymond Poincare,,,,Research Square,,,,Unknown affiliation,Robert CARLIER,,
0000-0003-1623-3661,co_author,Robert Chatburn,male,41.5045,-81.59707,Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,,,,,,,,Cleveland Clinic,Robert L. Chatburn,,
0000-0002-3032-7464,co_author,Robert Colvin,male,42.3368684,-71.1037297,Harvard Medical School,PhD Thesis,Kansas City University of Medicine and Biosciences,School of Information Technology and Electrical Engineering,The University of Queensland,,School of Information Technology and Electrical Engineering,School of Information Technology and Electrical Engineering,Unknown affiliation,Robert Colvin,,
0000-0002-4179-8966,co_author,Robert Davis,male,13.0110983,80.2348657,College of Engineering,Doctor of Philosophy (PhD),,,Louisiana State University and Agricultural & Mechanical College,,,,"Department of Environmental Science and Policy, University of California, Davis",Robert J. Hijmans,,
0000-0002-2722-7518,co_author,Robert Dorfman,male,,,"College of Computer, Mathematical, & Natural Sciences",,,,,,,,Unknown affiliation,Robert Dorfman,,
0000-0002-9300-8700,co_author,Robert Gibbons,male,41.7913968,-87.6008439,The University of Chicago,Ph.D.,Yale University,History,National Bureau of Economic Research,"Cambridge, MA",,History,"Professor of Biostatistics and Medicine, The University of Chicago",Robert D. Gibbons,professor,
0000-0003-1968-8856,co_author,Robert Glavinic,male,43.5041351,16.458179,Klinički Bolnički Centar Split,,,,,,,,,,,
0000-0003-3836-2085,co_author,Robert Gottlieb,male,32.78306,-96.80667,Baylor University Medical Center at Dallas,,,,,,,,,,,
0000-0002-9168-0202,co_author,Robert Hamer,male,45.14914,11.82057,UT Southwestern Medical School,professor,,,,,,,"Professor of Biochemistry, UTSouthwestern Med. Center.",Robert E Hammer,professor,
0000-0003-1890-4932,co_author,Robert Hyzy,male,45.14914,11.82057,University of Michigan Medical School,,,,,,,,University of Michigan,Robert Hyzy,,
0000-0001-8825-6884,co_author,Robert Jones,male,,,Forschungszentrum Jülich GmbH,Ph.D.,,Journalism,University of Missouri--Columbia,,Journalism,Journalism,"Jones School of Business, Rice University",Robert  E. Hoskisson,,
0000-0001-7971-5137,co_author,Robert Jr,male,41.5015735,-81.6070902,Electrical and Computer Engineering Department,Master of Science (MS),University of California Berkeley,Physics,US Dept of the Air Force,,Funding,Physics,"Professor of Biomedical Data Sciences, and  of  Statistics, Stanford University",Robert Tibshirani,professor,
0000-0002-1105-2506,co_author,Robert Kowalski,male,51.4989595,-0.1756407,Imperial College London,fellow,,,,,,,Distinguished Research Fellow Imperial College London,Bob Kowalski,fellow,
0000-0002-3833-380X,co_author,Robert Kacmarek,male,42.3628604,-71.068753,Massachusetts General Hospital,,,,,,,,,,,
0000-0002-5433-5055,co_author,Robert Li,male,22.3400204,114.1697166,City University of Hong Kong,"BAI, MA, PhD",,,,,,,"Charles Lee Powell Chair in Wireless Communication, University of California, San Diego",Robert Heath,,
0000-0001-5521-1110,co_author,Robert Lux,male,41.0956278,-111.9941083,The University of Utah,,,,,,,,,,,
0000-0002-8092-1840,co_author,Robert Macleod,male,41.0956278,-111.9941083,The University of Utah,Master of Arts,,,Carleton University,"Ottawa, Ontario",,,CSO ADARx Pharmaceuticals,robert macleod,,Master of Arts
0000-0002-9159-4486,co_author,Robert Martindale,male,45.4981929,-122.6864957,Oregon Health & Science University,,,,,,,,Unknown affiliation,robert martindale,,
0000-0002-8353-0394,co_author,Robert Maxwell,male,23.0378834,72.5518073,School of Engineering and Applied Science,,,,,,,,"Google DeepMind & TU Berlin & Korea University & Max Planck Institute for Informatics, Germany",Klaus-Robert Müller,,
0000-0002-7884-2166,co_author,Robert Michaels,male,37.0961463,-76.4815621,Thomas Jefferson National Accelerator Facility,,,,,,,,"Head of Sequencing, Michael Smith Genome Sciences Centre, BC Cancer Agency Distinguished Scientist",Robert A. Holt,,
0000-0002-5329-567X,co_author,Robert Miller,male,43.663462,-79.3977597,University of Toronto,Ph. D. Data Science,,,,,,,"Department of Neurosurgery & Radiology, Miami Miller School of Medicine, Miami University Hospital","Robert M. Starke MD, MSc",msc,Ph. D. Data Science
0000-0002-2311-4794,co_author,Robert Owens,male,32.8744092,-117.2361185,UC San Diego School of Medicine,,,Funding,US Dept of the Army,,Funding,Funding,"ICPD, pRxcision",Robert c Owens jr,,
0000-0003-3903-960X,co_author,Robert Parker,male,,,John and Marcia Price College of Engineering,associate professor,,Transportation Research and Education Center (TREC),Portland State University,"Portland, OR",Transportation Research and Education Center (TREC),Transportation Research and Education Center (TREC),"Associate Biostatistician, Massachusetts General Hospital; Associate Professor of Medicine; Harvard",Robert A. Parker,associate professor,
0000-0002-6879-0083,co_author,Robert Rossmanith,male,53.5765813,9.8816127,Deutsches Elektronen-Synchrotron (DESY),,,,,,,,,,,
0000-0002-2125-0215,co_author,Robert Stevens,male,53.4863381,-2.2635473,The University of Manchester,Ph.D.,,,,,,,John Massey Endowed Professor of Business,Robert E. Stevens,professor,
0000-0002-1300-6845,co_author,Robert Shenkar,male,41.7913968,-87.6008439,The University of Chicago,PhD,Michigan State University,Biophysics,,,,Biophysics,"Research Associate (Assistant Professor), Department of Surgery, University of Chicago",Robert Shenkar,professor,
0009-0008-1471-4684,co_author,Robert Sherwin,male,41.2995851,-72.9302625,Yale School of Medicine,,,,,,,,,,,
0000-0003-4101-2430,co_author,Robert Silbergleit,male,42.2942142,-83.7100389,"University of Michigan, Ann Arbor",professor,,,,,,,Professor of Emergency Medicine,Robert Silbergleit,professor,
0000-0002-5619-8656,co_author,Robert Sladen,male,40.8419836,-73.9436897,Columbia University Irving Medical Center,"MB,ChB",University of Cape Town Medical School,,,,,,,,,"MB,ChB"
0009-0007-2247-701X,co_author,Robert Southard,male,38.62727,-90.19789,Washington University School of Medicine in St. Louis,,,,,,,,Auburn University,Robert Southard,,
0000-0001-9136-5563,co_author,Robert Dekemp,male,,,Institut de Cardiologie de l'Université d'Ottawa,Master of Science,,,Carleton University,"Ottawa, Ontario",,,"Medicine, Engineering, Physics",Robert A deKemp,physics,
0000-0002-7840-3155,co_author,Robin Dewar,male,38.46806,106.27306,Leidos Inc.,PhD,Georgetown University,Microbiology,,,,Microbiology,,,,
0000-0001-6899-4281,co_author,Robin Paudel,male,0.3246284,32.574229,Mayo Clinic,,,,,,,,University of Wisconsin Madison,Robin Paudel,,
0000-0002-7209-4697,co_author,Rocel Besa,male,40.2088704,-74.040758,Jersey Shore University Medical Center,M.A.,,,University of Missouri--Columbia,,,,,,,
0000-0001-6304-8480,co_author,Rocio Lopez,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,Licenciado en Comunicación con mención en Comunicación Corporativa,,,Universidad de Ciencias y Artes de América Latina,Perú,,,Tecnológico de Monterrey,Rocío Ortiz López,,Licenciado en Comunicación con mención en Comunicación Corporativa
0000-0002-0710-8845,co_author,Rodolfo Pike,male,60.10867,-113.64258,"Eastern Health, Canada",,,,,,,,,,,
0000-0001-6738-9821,co_author,Rodrigo Cartin-Ceba,male,33.575299,-111.887186,"Mayo Clinic Scottsdale-Phoenix, Arizona",,,,,,,,,,,
0000-0002-7498-7122,co_author,Rodrigo Cofre,male,-38.7480605,-72.6182905,Universidad de la Frontera,PhD,Inria Centre de Recherche Sophia Antipolis Méditerranée,Neuromathcomp Team,,,,Neuromathcomp Team,"CNRS postdoc, NeuroPsi",Rodrigo Cofre,postdoc,
0000-0002-0230-6754,co_author,Roel Wijk,male,-37.7,145.18333,Meluna Research,,,,,,,,,,,
0000-0002-7699-8183,co_author,Roger Fillingim,male,29.6328837,-82.349013,University of Florida,PhD,University of Alabama at Birmingham,Psychology,,,,Psychology,University of Florida,Roger Fillingim,,
0000-0001-8177-9703,co_author,Roger Lightfoot,male,,,University Hospital Southampton NHS Foundation Trust,,,,,,,,,,,
0000-0003-0293-7094,co_author,Rohan Arya,male,33.9968529,-81.0276709,University of South Carolina,,,,,,,,,,,
0000-0001-9467-6199,co_author,Rohan Khera,male,41.2571305,-72.9896696,Yale University,Cardiology Fellow,University of Texas Southwestern Medical Center,Cardiology,,,,Cardiology,Yale University,Rohan Khera,,
0000-0002-7779-2670,co_author,Rohit Gupta,male,12.9653222,77.6980862,Indian Space Research Organisation,Doctor of Philosophy,,,"Authorea, Inc.",,,,"Chief Information Officer, MedGenome",Rohit Gupta,,
0000-0002-0141-1747,co_author,Rolf Lefering,male,51.4521881,7.3571148,Universität Witten/Herdecke,Professor,University Witten/Herdecke,Institute for Research in Operative Medicine (IFOM),,,,Institute for Research in Operative Medicine (IFOM),,,,
0000-0001-7587-1693,co_author,Rolf Rossaint,male,50.7791657,6.0689209,Rheinisch-Westfälische Technische Hochschule Aachen,Prof. Dr.,Medizinische Fakultät der RWTH Aachen,Department of Anaesthesiology,,,,Department of Anaesthesiology,,,,
0000-0002-7007-4908,co_author,Romain Pirracchio,male,37.7793627,-122.4514473,"University of California, San Francisco",,,,,,,,UCSF,Romain Pirracchio,,
0000-0003-0245-309X,co_author,Romain Sonneville,male,,,"Infection, Anti-Microbien, Modélisation, Évolution",,,,,,,,"Université Paris Cité, APHP, Médecine Intensive Réanimation, Hôpital Bichat Claude Bernard, Paris",Romain Sonneville,,
0000-0001-6187-1414,co_author,Roman Melamed,male,44.9540508,-93.2613343,Abbott Northwestern Hospital,,,,,,,,,,,
0000-0002-8087-671X,co_author,Roman Walczak,male,64.85694,-147.80278,"University of Oxford, Somerville College",Dr. rer. nat. ,Heidelberg University,Physics,,,,Physics,,,,
0009-0004-4693-7613,co_author,Romergryko Geocadin,male,,,Johns Hopkins University School of Medicine,,,,,,,,Johns Hopkins University School of Medicine,Romergryko G Geocadin,,
0000-0003-3777-5670,co_author,Romil Singh,male,0.3246284,32.574229,Mayo Clinic,md,,,,,,,Allegheny Health Network / Mayo Clinic,"Romil Singh, MD",md,
0000-0002-5893-9315,co_author,Romuald Girard,male,41.7913968,-87.6008439,The University of Chicago,Bachelor,Institut de Formation de Manipulateurs d’Électroradiologie Médicale,Medical Imaging,,,,Medical Imaging,"Assistant Research Professor, University of Chicago",Romuald Girard,professor,
0000-0001-7281-4749,co_author,Ron Simpson,male,53.6428959,-1.7781768,University of Huddersfield,,,,Lawrence Livermore National Laboratory (LLNL),"Livermore, CA (United States)",,,,,,
0000-0003-4411-8169,co_author,Ron Wald,male,43.663462,-79.3977597,University of Toronto,,,,,,,,,,,
0000-0001-5759-803X,co_author,Ronald Cohen,male,29.6328837,-82.349013,University of Florida,MD,,,American Psychological Association,,,,University of Florida,Ron Cohen,,
0000-0002-3720-2955,co_author,Ronald Hickman,male,41.5013869,-81.6007022,Case Western Reserve University,,,,,,,,Case western reserve university,Ronald Hickman,,
0000-0002-9279-1385,co_author,Ronald Moore,male,,,Pacific Northwest National Laboratory,BS Biology,,Funding,OSD or Non-Service DoD Agency,,Funding,Funding,Pacific Northwest National Laboratory,Ronald J. Moore,,
0000-0002-3875-716X,co_author,Ronald Williams,male,39.1367489,-84.5111972,United States Environmental Protection Agency,,,,,,,,Unknown affiliation,Ronald Williams,,
0000-0001-6100-7773,co_author,Ronaldo Go,male,40.8336054,-74.1550096,Hackensack Meridian School of Medicine,,,,Research Square,,,,"Center for Geology Survey, Bandung - Indonesia",Ronaldo Irzon,,
0000-0002-4341-6845,co_author,Ronny Beer,female,47.2595599,11.3871972,Medizinische Universitat Innsbruck,,,,ISRCTN,"London, UK",,,,,,
0000-0002-6082-1359,co_author,Roopa Kohli-Seth,female,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,,,,,,,,
0000-0002-9582-8622,co_author,Rosemary Kozar,female,39.2880744,-76.6257346,R Adams Cowley Shock Trauma Center,,,,,,,,"Shock Trauma, University of Maryland School of Meidicne",Rosemary Kozar,,
0000-0002-9486-4402,co_author,Rosemary Nagy,female,46.3432694,-79.4916705,Nipissing University,Master of Arts,,,Carleton University,"Ottawa, Ontario",,,"associate professor, gender  equality and social justice, nipissing university",Rosemary Nagy,associate professor,
0000-0001-8459-5424,co_author,Ross Milner,male,,,Pritzker School of Medicine,professor,,,,,,,"Professor of Surgery, University of Chicago",Ross Milner,professor,
0000-0002-1050-796X,co_author,Ross Zafonte,male,42.3368684,-71.1037297,Harvard Medical School,professor,,,,,,,Professor Harvard Medical School,Ross Zafonte,professor,
0000-0003-2819-6482,co_author,Roxana Garcia-Salcido,female,19.7200649,-101.2510972,Universidad de Guadalajara,PhD ,,,,,,,,,,
0000-0002-5546-262X,co_author,Roxana Mehran,female,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,,,,,Mount Sinai School of Medicine,Roxana Mehran,,
0000-0003-0878-4391,co_author,Roxane Fournier,female,46.192003,6.1479499,Hôpitaux Universitaires de Genève,,,,,,,,Hopitaux universitaires de genève,Roxane Fournier,,
0000-0001-6651-5267,co_author,Roy Strowd,female,,,Wake Forest University School of Medicine,M.Ed.,Johns Hopkins University School of Education,Education in the Health Professions,,,,Education in the Health Professions,Wake Forest School of Medicine,"Roy E Strowd III, MD, MEd, MS",md,
0000-0002-1101-3603,co_author,Ruba Sajdeya,female,29.6328837,-82.349013,University of Florida,Doctor of Medicine,Al-Quds University,School of Medicine,,,,School of Medicine,Duke University School of Medicine,"Ruba Sajdeya, MD, PhD",phd,
0000-0001-7734-263X,co_author,Ruben Garza,male,25.4403557,-100.9907562,Universidad Autonoma de Coahuila,Doctor en Ciencias,,,,,,,"Distinguished Professor Emeritus, Texas State University",Rubén Garza,professor,
0000-0002-2259-9566,co_author,Ruchi Patel,female,,,Gyan Ganga Institute of Technology and Sciences,Masters of Science in Architecture,Iowa State University,Architecture,,,,Architecture,Memorial Sloan Kettering Cancer Center,RUCHI PATEL,,
0000-0001-5944-3365,co_author,Rudolf Valenta,male,,,"Medizinische Universitat Wien, Zentrum für Pathophysiologie, Infektiologie und Immunologie",Board certified specialist in Immunology,Medical University of Vienna,,,,,,,,,
0000-0002-6714-5971,co_author,Rui Maciel,female,-23.5992708,-46.6430924,Universidade Federal de São Paulo,professor,,,,,,,"Professor Titular, Escola Paulista de Medicina, Universidade Federal de São Paulo","Rui M. B. Maciel, M.D., Ph.D.",professor,
0000-0002-2078-9518,co_author,Rui Nouchi,female,34.36594,-89.52536,Tohoku University,,,,,,,,University of Human Environments,Rui Nouchi,,
0000-0003-0887-8136,co_author,Rui Wang,female,47.6556644,-122.3027072,University of Washington,,,,Nanyang Technological University,,,,"York University, Laurentian U, Lakehead U, U Saskatchewan, U de Montreal, U of Alberta","Wang, Rui",,
0000-0002-0720-1118,co_author,Rui Yue,female,32.3441707,119.3946419,Yangzhou University,M.Phil.,,Management of Organizations,The Hong Kong University of Science and Technology,"Clear Water Bay, Hong Kong",Management of Organizations,Management of Organizations,Wuhan University,Rui Yu,,
0000-0002-9338-3375,co_author,Rui Zhao,female,30.6782314,104.0980034,University of Electronic Science and Technology of China,Master of Philosophy,,,The University of Hong Kong,"Pokfulam Road, Hong Kong SAR",,,SenseTime Group Limited,Rui Zhao,,
0000-0002-9472-5007,co_author,Rui Zhu,female,31.2284923,121.4021139,East China Normal University,Doctor of Philosophy (PhD),,Pharmaceutical Sciences,University of Tennessee Health Science Center,"Memphis, TN",Pharmaceutical Sciences,Pharmaceutical Sciences,Peking University,Rui Zhu,,
0000-0001-8953-3716,co_author,Russell Chabanne,male,45.77966,3.08628,Centre Hospitalier Universitaire de Clermont-Ferrand,msc,University of Clermont Auvergne,,,,,,"MD, MSc (Neurocritical Care Unit / Neuroanesthesiology Clinic - Anesthesia Critical Care Department",Russell Chabanne,msc,
0000-0001-8023-1957,co_author,Russell Gruen,male,,,ANU College of Health & Medicine,,,,,,,,"Dean, College of Health and Medicine, Australian National University",Russell Gruen,,
0000-0001-6608-0611,co_author,Russell Reid,male,41.7909256,-87.6057809,The University of Chicago Medicine,,University of Oxford,Corpus Christi College,,,,Corpus Christi College,Utah Tech University,Russell C. Reid,,
0000-0002-5276-602X,co_author,Ruth Bailey,female,-33.8888812,151.1894143,The University of Sydney,,,,,,,,Harvard University,Lydia Ruth Bailey,,
0000-0002-2500-4687,co_author,Ryan Burnett,male,,,Point Blue Conservation Science,Master of Science,The Pennsylvania State University,Biology,Iowa State University,,,Biology,Imperial College London,Ryan Barnett,,
0000-0002-8407-7384,co_author,Ryan Duggan,male,54.2849843,-8.4535341,AbbVie,BA,,,,,,,"AbbVie, Inc.",Ryan Duggan,,
0000-0003-0159-5352,co_author,Ryan Fiter,male,40.8800853,-73.8798439,Montefiore Medical Center,,,,,,,,,,,
0000-0003-3392-9038,co_author,Ryan Huebinger,male,36.8584027,-76.3054313,UT Southwestern Medical Center,PhD,Texas A&M University,,,,,,University of New Mexico,Ryan Huebinger,,
0000-0001-6637-7239,co_author,Ryan Lister,male,-37.7,145.18333,The Harry Perkins Institute of Medical Research,Doctor of Philosophy,The University of Western Australia,,,,,,University of Western Australia; Harry Perkins Institute of Medical Research,Ryan Lister,,
0000-0003-0922-3342,co_author,Ryan Lu,male,37.3973137,-121.9275258,Taiwan Semiconductor Manufacturing Company,professor,,,Center for Security and Emerging Technology,,,,"Professor of applied security, university of luxembourg",Peter Ryan,professor,
0000-0003-4272-1036,co_author,Ryan Musich,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,M.A.,Rochester Institute of Technology,,National Energy Technology Laboratory,"Pittsburgh, PA, and Morgantown, WV",,,Assistant Professor of Music Education at Michigan State University,Ryan D. Shaw,professor,
0000-0003-4108-2009,co_author,Ryo Matsuoka,male,33.83333,130.83333,The University of Kitakyushu,,,,,,,,The University of Kitakyushu,Ryo Matsuoka,,
0000-0001-6405-5367,co_author,Ryota Sato,female,38.2976974,21.8089108,Institute for Chemical Research,,,,,,,,"Division of Critical Care Medicine, Department of Medicine, The Queen's Medical Center",Ryota Sato,,
0000-0002-6132-3861,co_author,Ryuta Kawashima,female,34.36594,-89.52536,Tohoku University,,,,,,,,,,,
0009-0003-1742-4627,co_author,S Al-Zaiti,female,36.8584027,-76.3054313,University of Pittsburgh Medical Center,PhD In Organizational Communication,,,,,,,University of Pittsburgh,Salah S. Al-Zaiti,,
0000-0002-5394-0747,co_author,S Barber,female,,,Noyes Knee Institute,,,,,,,,Georgia State University,Sarah Barber,,
0000-0003-1274-7278,co_author,S Bhat,female,48.4697748,-123.3169956,University of Victoria,Ph.D.,,,,,,,Software engineer,Ashok Singh Bhat,,
0000-0002-2719-8059,co_author,S Bukhari,female,29.7848626,40.0352745,Jouf University,,,,,,,,"College of Pharmacy, Jouf University",Syed Nasir Abbas Bukhari,,
0000-0001-7530-2466,co_author,S Carrasco-Sosa,female,22.86991,-82.42193,Depto. Ciencias de la Salud,,,,,,,,,,,
0000-0001-6064-0120,co_author,S Coleman,female,54.6040904,-5.9290171,Ulster University,"Ph.D., M. Phil., MS",Yale University,,American Psychological Association,,,,"James S. Coleman Professor of International Development, UCLA",Daniel N. Posner,professor,
0000-0002-8290-4243,co_author,S Cr√©P√©-Renaudin,female,,,,,,,,,,,,,,
0000-0002-1326-8976,co_author,S Dogra,female,35.8905697,128.6108553,Kyungpook National University,professor,,,,,,,"Professor of Dermatology, PGIMER, Chandigarh",Sunil Dogra,professor,
0000-0002-9558-7742,co_author,S Green,female,32.7609456,35.0204348,University of Haifa,,,,Comprehensive R Archive Network,,,,University of New South Wales,Martin A Green,,
0000-0001-5320-1760,co_author,S Griffin,female,52.2109456,0.092005,University of Cambridge,BS,Florida State University,Physics,Office of Scientific and Technical Information,"Oak Ridge, TN",,Physics,University of Cambridge,Simon Griffin,,
0000-0003-0613-9532,co_author,S Jankowski,female,,,"University of British Columbia, Faculty of Dentistry",habilitation,University of Warsaw,Psychology,,,,Psychology,"University of Warsaw, Faculty of Psychology",Konrad S. Jankowski,,
0000-0001-6677-5958,co_author,S J√©Z√©Quel,female,,,Universidade de São Paulo,Doutorado em Administração,,"Faculdade de Economia, Administração e Contabilidade",Universidade de São Paulo,São Paulo,"Faculdade de Economia, Administração e Contabilidade","Faculdade de Economia, Administração e Contabilidade",,,,
0000-0001-9838-4214,co_author,S Kamal,female,26.3053184,50.1506449,King Fahd University of Petroleum and Minerals,professor,,,,,,,Fawwaz T. Ulaby Distinguished University Professor of EECS and Rufus S. Teesdale Endowed Professor,Kamal Sarabandi,professor,
0000-0003-4040-4838,co_author,S Kapoor,female,33.5242718,-117.16661,Kaiser Permanente,,,,,,,,LLM Student,Simrin kapoor,,
0000-0003-0440-6748,co_author,S Krishnan,female,,,The Grainger College of Engineering,professor,,,,,,,"Professor, UTHealth",Sunil Krishnan,professor,
0000-0003-3539-5981,co_author,S Mathew,female,29.7104775,-95.3958003,Baylor College of Medicine,professor,,,,,,,"Emeritus Professor of Medical Statistics, Newcastle University, UK",John Nigel Scott Matthews,professor,
0000-0002-9337-329X,co_author,S Murthy,female,12.9941561,80.2366826,Indian Institute of Technology Madras,,,,,,,,Gujarat Vidyapith,D Srinivas Murty,,
0000-0003-0225-4584,co_author,S Raju,female,7.25,2.16667,Rane Center,professor,,,,,,,"Senior Professor & Head, Unit II , Dept of Nephrology, Nizams Institute of Medical Sciences",Sree Bhushan Raju,professor,
0000-0002-6487-8344,co_author,S Ramakrishnan,female,18.5456168,73.807205,Indian Institute of Science Education and Research Pune,DM,All India Institute of Medical Sciences,CARDIOLOGY,,,,CARDIOLOGY,"Professor, University of Miami",Sundaram Ramakrishnan,professor,
0000-0003-2774-6753,co_author,S Rao,female,40.7434467,-73.9722189,NYU Langone Health,,,,,,,,"Director of Schey Center for Cognitive Neuroimaging, Cleveland Clinic",Stephen Rao,,
0009-0001-1022-584X,co_author,S Reddy,female,,,Indian Institute of Chemical Technology,PhD,,,,,,,Indian Institute of Chemical Technology,B V Subba Reddy,,
0000-0001-5157-140X,co_author,S Richter,female,4.75,11.83333,Oskar Klein Centre,,University of Glasgow,Biomedical Engineering ,,,,Biomedical Engineering ,Genedata AG,Andreas S. Richter,,
0000-0003-3918-0398,co_author,S Shah,female,,,University of Texas at Arlington College of Engineering,professor,,,,,,,"Emeritus Professor Northwestern University;Presidential Distinguished Professor, University of Texas",Surendra P Shah,professor,
0000-0001-9656-7498,co_author,S Shiva,female,,,University of Pittsburgh School of Medicine,PGDM Research and business analytics,Lal Bahadur Shasti Institute of Management,Management,ISRCTN,"London, UK",,Management,University of Florida,Shiva Gautam,,PGDM Research and business analytics
0009-0001-0644-3377,co_author,S Smith,female,51.4905582,-2.6304825,University of Bristol,Ph.D.,,,SciVee,,,,"Professor of Medicine, University of North Carolina","Sidney C. Smith, Jr MD",professor,
0009-0005-6348-9792,co_author,S Worm,female,53.5765813,9.8816127,Deutsches Elektronen-Synchrotron (DESY),Doctor of Philosophy in Mechanical Engineering-Engineering Mechanics (PhD),,Department of Mechanical Engineering-Engineering Mechanics,Michigan Technological University,"Houghton, Michigan",Department of Mechanical Engineering-Engineering Mechanics,Department of Mechanical Engineering-Engineering Mechanics,DESY / Humboldt Universität Berlin,Steven Worm,,Doctor of Philosophy in Mechanical Engineering-Engineering Mechanics (PhD)
0000-0001-6463-1790,co_author,S Wu,female,,,UW-Madison College of Engineering,professor,,,,,,,"Trustee Chair Professor, College of Optics and Photonics, University of Central Florida",Shin-Tson Wu,professor,
0000-0002-7906-831X,co_author,S Zhang,female,40.025228,116.2745405,China Agricultural University,Master of Science,,Electrical and Computer Engineering,"Iowa State University, Digital Repository",Ames,Electrical and Computer Engineering,Electrical and Computer Engineering,"Professor of Physics, Kyungpook National University",Chang-Seong Moon,professor,
0000-0002-3622-9750,co_author,S Desilva,female,4.9759399,114.8948152,Universiti Brunei Darussalam,associate professor,,,Los Alamos National Laboratory (LANL),"Los Alamos, NM",,,Associate Professor - Federal University of Santa Catarina,Diego Augusto Santos Silva,associate professor,
0000-0001-6756-495X,co_author,Shashi Kapoor,female,-37.7,145.18333,Jawaharlal Institute of Postgraduate Medical Education and Research,,,,,,,,"UBS, Ludhiana (Panjab University, Chandigarh)",Shashi Kapoor,,
0000-0002-0363-5154,co_author,Suleiman Ashi,female,41.5005343,-81.6220008,Cleveland Clinic Foundation,Master of Applied Science,,,Carleton University,"Ottawa, Ontario",,,Unknown affiliation,SULEIMAN AL ASHI,,Master of Applied Science
0000-0002-5683-3445,co_author,Sumit Kapoor,female,36.8584027,-76.3054313,University of Pittsburgh Medical Center,PhD ,,,,,,,Baylor College of Medicine,SUMIT KAPOOR,,
0000-0003-2915-2510,co_author,Saberio Presti,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,,,,,,,,,,,
0000-0003-2817-9295,co_author,Sabina Casula,female,,,Miami Veterans Affairs Healthcare System,MD,University of Miami,Endocrinology,,,,Endocrinology,,,,
0000-0003-1354-902X,co_author,Sabrina Derrington,female,34.0976912,-118.2900801,Children's Hospital Los Angeles,,,,,,,,,,,
0000-0002-4563-1696,co_author,Sabrina Taylor,female,30.4057618,-91.1859745,Louisiana State University,Ph.D.,University of Ottawa,,Dartmouth College,,,,"Weaver Brothers Distinguished Professor, Louisiana State University",Sabrina Taylor,professor,
0000-0002-6596-8034,co_author,Sachin Yende,male,40.444153,-79.962461,University of Pittsburgh,,,,,,,,University of Pittsburgh,Sachin Yende,,
0000-0002-2623-1881,co_author,Sadaf Khan,male,40.0022905,116.320963,Tsinghua University,Distinguished Research Fellow,,,,,,,Southwest University of Science and Technology,Sadaf Bashir Khan,,
